""	"probe.id"	"gene.id"	"p.value"	"q.value"	"log.fc"	"test.stat"
"1769506_at"	"1769506_at"	"YKL166C"	7.01465277356471e-07	1.02894128200692e-05	-1.2365723388469	-14.2399106000757
"1769510_at"	"1769510_at"	"YJR139C"	9.61791938374743e-05	0.000462696929857018	-0.493413327033333	-7.26475327575542
"1769511_at"	"1769511_at"	"YNR038W"	1.39767690303287e-05	9.44577192105331e-05	-0.794236831638333	-9.52719060029204
"1769514_at"	"1769514_at"	"YJL165C"	0.0699803296719034	0.130882259567784	-0.231904646371877	-2.09691695292754
"1769515_at"	"1769515_at"	"YFL012W"	0.295993371860118	0.411738234176091	0.225115682040343	1.11965501398787
"1769516_at"	"1769516_at"	"YDL086W"	0.383668770602903	0.50080414777216	0.0759993453438634	0.922735781601895
"1769518_x_at"	"1769518_x_at"	"YIL176C"	1.12397563281926e-06	1.3989528149714e-05	-1.43500166534616	-13.3789805828795
"1769519_at"	"1769519_at"	"YKL096W"	0.151724735317199	0.243446151925076	-0.813921227596992	-1.58800150526953
"1769520_at"	"1769520_at"	"YLR064W"	0.220433324698067	0.327295566888652	-0.102664834025454	-1.33153206854939
"1769523_at"	"1769523_at"	"YBR194W"	0.164794080646906	0.259828266239993	0.155170303975263	1.53215030416834
"1769525_at"	"1769525_at"	"YEL003W"	0.000862801348894376	0.0030483973943478	-0.564607586625753	-5.21406495934533
"1769526_at"	"1769526_at"	"YDR205W"	0.0838504412721506	0.151683102503238	-0.148674476910263	-1.97952562645924
"1769527_at"	"1769527_at"	"YKL075C"	0.583883459799156	0.686093120339165	0.0395581924688203	0.571171765298666
"1769528_at"	"1769528_at"	"YHR198C"	0.000304569260760056	0.00125031287813144	0.565773704449204	6.12866148265903
"1769531_at"	"1769531_at"	"YGL138C"	0.0140184519344086	0.0340960700510165	0.200210042073019	3.14701132478305
"1769534_at"	"1769534_at"	"YMR212C"	6.94478208401104e-06	5.43643113281323e-05	-0.959383382796759	-10.481764367134
"1769538_at"	"1769538_at"	"YNR055C"	0.540004406317158	0.646703359148921	-0.05236062794084	-0.640679687234168
"1769539_at"	"1769539_at"	"YNL222W"	0.000919223674748294	0.00322273863254712	-0.442606794319423	-5.16142577214583
"1769541_at"	"1769541_at"	"YPR042C"	0.988255668954938	0.991522029961399	-0.00126127573219644	-0.0151957348190507
"1769544_at"	"1769544_at"	"YLR149C"	6.85937209154012e-08	2.20468288871619e-06	4.07649824937771	19.3047687782767
"1769549_at"	"1769549_at"	"YOR271C"	2.01451293890864e-05	0.000125225241162648	-0.755358485410344	-9.05877683004332
"1769550_at"	"1769550_at"	"YHR197W"	6.54679631245306e-07	9.85446144662356e-06	-1.2402903372321	-14.3702019442068
"1769551_at"	"1769551_at"	"YAL034C"	5.25364529996235e-08	1.89980479252212e-06	2.01974016682906	19.9852844414066
"1769554_at"	"1769554_at"	"YOR084W"	2.35091003525392e-09	2.23397781436998e-07	2.04616370346553	29.8485721942474
