""	"gene.id"	"p.value"	"q.value"	"log.fc"	"test.stat"
"1459"	"YDR410C"	7.84736549129695e-08	2.20616523610076e-07	-0.938383005906206	28.8433800731546
"1460"	"YDR411C"	0.797303550102993	0.83857874996363	0.0250994726521201	0.0659659471663532
"1461"	"YDR412W"	2.55668631418721e-06	6.37458368259e-06	-0.741834695701663	22.1234412701882
"1462"	"YDR413C"	0.378925675021372	0.445530511500686	0.671589003606349	0.774184414298172
"1463"	"YDR414C"	6.40722856768664e-11	2.2248455037052e-10	-0.706611426286787	42.692046210984
"1464"	"YDR415C"	0.18899651445242	0.244254286358699	-0.148757441692438	1.72542272942427
"1465"	"YDR416W"	0.322372147664798	0.386539331015966	0.101905476967328	0.979298131369466
"1466"	"YDR417C"	8.26955730745211e-14	3.37278328586981e-13	-0.609221707821467	55.7405324218381
"1467"	"YDR418W"	2.02736762012241e-39	2.1742686837444e-38	-1.0667230051488	172.574324181678
"1468"	"YDR419W"	0.210362031309116	0.267183674984557	0.143570670085668	1.56893302984078
"1469"	"YDR420W"	0.250424628460006	0.311459680491513	0.10390587671045	1.32093325952083
"1470"	"YDR421W"	8.07857371307711e-13	3.11615738390038e-12	0.727065889917636	51.2629574192932
"1471"	"YDR422C"	0.0221601121479475	0.0343046506559093	0.213135497842266	5.23316978536437
"1472"	"YDR423C"	0.00122474603912707	0.0023023817781521	0.385494110279354	10.4526352353533
"1473"	"YDR424C"	0.471667527246871	0.536541290775349	-0.159924895560019	0.518066729413218
"1474"	"YDR425W"	1.07832674694129e-09	3.45465895126834e-09	0.766010854779831	37.1778317602278
"1475"	"YDR426C"	0.207256752937221	0.265129776635765	0.599043067125386	1.5904857114285
"1476"	"YDR427W"	0.0144228829937926	0.0229908627059919	0.186405728610695	5.98563087966428
"1477"	"YDR428C"	0.0225593086433755	0.0348237369384055	0.327220008150825	5.20212382571987
"1478"	"YDR429C"	1.11080976351256e-14	4.69136053770121e-14	-0.652177090184975	59.6892618481927
"1479"	"YDR430C"	0.0370680397224213	0.0550508776081908	-0.163924415850946	4.34728292174274
"1480"	"YDR431W"	0.474588418151826	0.539394967260119	-0.372040869691578	0.511272733034417
"1481"	"YDR432W"	1.59523055306417e-14	6.68974248599089e-14	-0.677169467598333	58.9770336426622
"1482"	"YDR433W"	0.162106214982815	0.212184645541732	-0.606771090833087	1.95446780156078
"1483"	"YDR434W"	0.00545515348837404	0.00928639451494742	-0.233870477422287	7.72201309508507
"1484"	"YDR435C"	3.68188292455271e-05	8.15398716737435e-05	0.746674118541804	17.0287123309977
"1485"	"YDR436W"	1.76658818791985e-32	1.50874933751588e-31	1.19048727078822	140.814361242908
"1486"	"YDR437W"	0.00865341996591918	0.0143173175055749	0.84627698294549	6.89299426307859
"1487"	"YDR438W"	5.52875200925673e-13	2.1554884174349e-12	0.956312678766412	52.0075543532709
"1488"	"YDR439W"	0.43752371393792	0.503479355599273	0.130843247143888	0.602768366736059
